rozmiar,size
rozpadło,fell apart
rozpoczęli,They started
rozsadzić,to blow up
rozstrzygnięcia,decisions
rozszerzenia,extensions
rozszerzony,expanded
rozwagi,prudence
rozwijających,developing
rozwinąć,to develop
rozwiązaniu,solution
rozwojem,development
rozwojowe,developmental
rozwojowi,development
rozłożyć,to spread out
rubli,rubles
ruchem,movement
rundy,rounds
ruszyć,to move
ruszył,he started
ruszyły,They started
rynków,markets
rywala,rival
rywalem,a rival
rywali,rivals
rywalizować,compete
rzece,river
rzeczywistość,reality
rzeczywisty,actual
rzeczywistym,real
rzeczą,thing
rzekach,rivers
rzekomo,allegedly
rzeką,river
rzeszowskiego,Rzeszow
rzeszę,a multitude
rzucie,throw
rzucił,he threw
rzutu,throw
rz±d,government
rz±du,government
rządowej,government
rządowy,governmental
rządzi,he rules
rządzić,govern
rządząca,ruling
ról,roles
równo,evenly
równocześnie,at the same time
równowagę,balance
równowartość,equivalent
róże,roses
różnic,differences
różnicę,the difference
różnie,differently
różnorodności,diversity
różnorodny,various
róży,rose
rękodzieła,handicrafts
r贸wnie偶,also
sadzonek,seedlings
salon,living room
salonach,salons
samochodowe,Car
samolocie,on the plane
samolotów,airplanes
samorząd,local government
samorządowiec,local government official
samorządów,local governments
samą,alone
sałatki,salads
scen,scenes
scenografii,scenography
scenę,the scene
schody,stairs
schodów,stairs
schronienie,shelter
sejm,Sejm
sejmików,regional assemblies
sejmowych,parliamentary
sekretarz,secretary
seksem,sex
seksualne,sexual
seksualnej,sexual
seksualnych,sexual
sektorach,sectors
sektory,sectors
selera,celery
senatorami,senators
senatorów,senators
senior,senior
seniorka,Senior
seniorzy,seniors
sensu,sense
sercem,with the heart
serdecznie,heartily
seriali,series
serwerów,servers
serwisach,services
serwisy,services
setek,hundreds
sfery,spheres
show-biznesu,show business
siana,hay
siatkarze,volleyball players
siać,sow
siedzenie,seat
sierpień,August
sile,strength
silnej,strong
silnie,strongly
silniejsza,stronger
silnika,engine
silnym,strong
singlem,single
siostry,sisters
siostrzenicy,niece
siostrę,sister
sięgać,reach out
sięgał,he reached
sięgnęła,she reached out
siłami,by force
siłowni,Gym
skarga,complaint
skazania,convictions
skazano,convicted
skierowane,directed
sklepie,shop
skoczek,jumper
skodą,Skoda
skoki,jumping
skontaktowali,They contacted
skontaktował,contacted
skontrolowano,checked
skorzystali,they took advantage
skorzystało,took advantage
skończyła,she finished
skończyły,They finished
skraju,edge
skromna,modest
skromne,modest
skrupulatnie,meticulously
skrywa,hides
skrzydłowy,winger
skrzyni,the box
skrzyżowania,intersections
skróty,shortcuts
skup,purchase
skupia,focuses
skuteczności,effectiveness
skuteczny,effective
skutkami,consequences
skutku,effect
skutkuje,it results
skóra,skin
składają,they are making
składanie,folding
składowano,were stored
składy,warehouses
smakuje,it tastes good
smartfonów,smartphones
smog,smog
smok,dragon
smoku,dragon
smoleńskiej,Smolensk
smutna,sad
sodu,sodium
sojusznikami,allies
sojuszników,allies
sojuszu,alliance
sondaży,polls
sos,sauce
sosem,sauce
sosie,sauce
sowieckich,Soviet
sowieckie,Soviet
sp.,sp.
spa,spa
spadnie,will fall
spalin,exhaust fumes
sparingu,sparring
specjalistycznych,specialized
specjalnie,especially
specjalny,special
specjalną,special
spektakl,spectacle
spektaklu,the spectacle
spektakularnego,spectacular
spekulacji,speculation
spekulowano,It was speculated
spekulują,They are speculating
spełniać,fulfill
spodnie,Pants
spodobał,I liked it
spodobała,she liked it
spodziewają,they expect
spodziewali,they expected
spodziewana,expected
spojrzeć,look
spokojem,peace
spokojna,calm
spokojnej,calm
spokojnym,calm
sporej,big
sportowca,sportsman
sportowy,sporty
sporze,dispute
spostrzeżeniami,observations
spot,spot
spotkamy,we will meet
spotkaniami,meetings
spotka³,he met
spotykane,found
spowodowana,caused
społeczeństwem,society
społecznie,socially
społecznościowe,social
spożycia,consumption
spożywczych,Foodstuffs
sprawcą,perpetrator
sprawdzanie,Checking
sprawdzi,will check
sprawdziły,They checked
sprawdzone,checked
sprawdzą,they will check
sprawi,will make
sprawiał,he made
sprawiedliwością,justice
sprawią,they will make
sprawiło,made
sprawność,efficiency
sprawozdanie,report
sprowadzony,brought
sprzeciwu,opposition
sprzedaje,I sell
sprzedanych,sold
sprzedawanych,sold
sprzyja,It is conducive to
sprzyjają,they are conducive
sprzątanie,cleaning
sprzętem,equipment
sprzętów,equipment
spójności,consistency
spędza,he spends
spłaty,repayments
spłonęły,They burned down
ssaków,mammals
stabilność,stability
stacjach,stations
stację,station
stadion,stadium
stajemy,we stand
stali,steel
stalowowolskiego,Stalowa Wola
stanami,states
standard,standard
standardowa,standard
stanowczo,firmly
stanowiący,constituting
stanęły,They stopped
staram,I'm trying
starcie,clash
starożytnych,ancient
startował,he started
startujący,starting
starzeją,they are getting old
starzenia,aging
starć,clash
statusu,status
stawia,puts
stawiał,He was putting
stawie,pond
stawki,rates
stawką,rate
stałego,permanent
stały,constant
stażem,seniority
stempla,stamp
sto,hundred
stoiskach,stands
stolica,capital
stop,Stop
stopami,feet
stosowana,used
stosowanie,use
stosunki,Relations
stosunkowo,relatively
stowarzyszeniem,association
stracić,lose
straciły,They lost
stracą,they will lose
strajku,strike
straszy,scares
strata,loss
strategicznym,strategic
stratę,loss
straż,guard
stres,stress
stresu,stress
stroje,outfits
struktur,structures
struktury,structures
strzale,shot
strzał,shot
strzałem,with a shot
strzały,shots
strzałów,shots
strzelaniny,shootings
strzelał,he shot
strzelec,gunman
strzelecką,shooting
stu,one hundred
studenckie,student
studiował,he studied
studiu,studio
studium,study
studniówka,prom
studniówki,proms
stwierdza,it states
stwierdzenie,statement
stwierdzili,they stated
stwierdzi³,he stated
stwierdzić,to state
stwierdziła,she stated
stwierdzono,It was found
stworzonego,created
stworzy,will create
stworzył,he created
stypendia,scholarships
substancje,substances
sucha,dry
suche,dry
sugerował,he suggested
sugeruje,I suggest
sugerują,they suggest
sukcesy,successes
suknie,dresses
sumienia,conscience
sumieniu,conscience
sumę,the sum
surowców,raw materials
suszę,drought
suwerennym,sovereign
swe,his
swych,their own
sygnał,signal
sylwestra,New Year's Eve
sylwetkę,silhouette
symbole,symbols
symbolem,a symbol
symboliczna,symbolic
symbolizuje,it symbolizes
synoptyków,weather forecasters
synowa,daughter-in-law
synowie,sons
syren,sirens
systemami,systems
systemowych,systemic
systemy,Systems
szacowana,estimated
szacunkami,estimates
szacunków,estimates
szafy,wardrobes
szalony,crazy
szary,gray
szatni,cloakroom
szału,Crazy
szczecińskim,Szczecin
szczególne,special
szczepionek,vaccines
szczepionki,vaccinations
szczątków,remains
szefów,bosses
szerokie,wide
szeroką,wide
szkodliwych,harmful
szkoleniowiec,trainer
szkoleniowy,training
szkoleniu,training
szkolnego,school
szkolnych,school
szkoła,school
szlaku,trail
szofer,chauffeur
szok,shocking
szokujące,shocking
szparagi,asparagus
szpiku,marrow
szpilkach,high heels
sztab,staff
sztukę,art
szukali,They were looking for
szwedzkiej,Swedish
szybki,fast
szybkiej,fast
szyi,neck
szósta,sixth
szósty,sixth
szła,she was walking
s±,s±
s³ów,words
sól,salt
sądowych,court cases
sądy,courts
sąsiadem,a neighbor
sąsiednie,adjacent
słabe,weak
słabo,poorly
słabsze,weaker
słodki,sweet
słone,salty
słowem,in a word
słońcu,the sun
słuchajcie,listen
służył,he served
służą,lock
słychać,you can hear
słynnych,famous
słyszał,he heard
tablicy,board
tajemnicze,mysterious
taksówkarz,taxi driver
tamte,those
tamtejszej,the local one
tamy,dams
taneczne,dancing
taniec,dance
taras,terrace
targu,market
tata,dad
teatr,theater
teatru,theater
technicznego,technical
technicznej,technical
technicznym,technical
teddy,teddy
tejże,this one
tekstem,text
telefonicznie,by phone
telefony,phones
teleturniej,game show
telewizor,TV set
telewizyjnym,television
tematem,the topic
tematy,Topics
tempomat,Cruise control
tenisistce,tennis player
tenisistów,tennis players
tenisowego,tennis
teoretycznie,theoretically
terapię,therapy
terrorystycznego,terrorist
terrorystów,terrorists
the,the
tie-breaka,tie-break
tie-breaku,tie-break
tira,truck
tj,ie
toksyczne,toxic
toksycznych,toxic
tomografii,tomography
tonami,tons
torach,on the tracks
torebek,bags
tory,tracks
towarzyszy,accompanies
towarzyszyła,she accompanied
tradycja,tradition
tradycyjną,traditional
trafem,by chance
trafi,he will hit
trafiają,they get there
trafi³,he hit
traktowany,treated
traktować,to treat
traktuje,treats
tramwajowej,tram
transakcja,transaction
transfer,transfer
transformacja,transformation
transmisje,transmissions
tranzyt,transit
trawnik,lawn
trendach,trends
trendem,trend
trendów,trends
trenerem,a trainer
trenerzy,Trainers
treningi,training
treść,contents
tron,throne
trudny,difficult
trumny,coffins
trwających,ongoing
trwania,duration
trwałego,permanent
trwały,durable
trybie,mode
trzej,three
trzeźwi,sober
trzydzieści,thirty
trzymam,I'm holding
trzymać,to hold
trzymał,he held
trzyosobowa,three-person
trójki,threes
turniejem,tournament
turniejów,tournaments
turystom,to tourists
turysty,a tourist
turystyki,tourism
tvn24.pl,tvn24.pl
twardej,hard
twardo,hard
twardą,hard
twarzach,faces
twarzą,face
twierdzenia,theorems
tworzyć,create
tworzył,he created
twórcami,creators
twórczości,creativity
tygodniach,weeks
typowo,typically
tysiąc,thousand
tysiąca,a thousand
tłumaczenie,translation
tłusty,fat
ub.r.,last year
ubiegać,apply
ubiegły,last
ubrała,she dressed
ubrań,clothes
ucha,ear
ucho,ear
uchodźcach,refugees
uchwalona,passed
uchwał,resolutions
uchwały,resolutions
uchwałę,resolution
uchylenia,repeal
ucieczki,escape
uciekał,he ran away
uciekła,she ran away
ucierpiał,he suffered
ucierpiało,it suffered
uciążliwe,bothersome
uczciwych,honest
uczczono,celebrated
uczelnia,school
uczennic,students
uczestnictwa,Participation
uczestnictwo,participation
uczestniczka,participant
uczestniczył,He participated
uczestniczyły,participated
uczestniczą,They participate
uczestnik,participant
uczestnikiem,participant
uczty,feasts
uczucie,feeling
uczynić,make
uczyniła,she did
uczynku,in the act
uczyć,teach
uczą,they teach
udanym,successful
udała,she pretended
uderzeniem,with a blow
uderzeniowych,shock
uderzona,hit
uderzyæ,hit
uderzyły,They hit
udziały,shares
udzielane,granted
udzielania,granting
udzieli,will give
udzielić,to give
udzieliła,she gave
ugrupowania,groups
ugryzł,he bit
ujawniono,revealed
ukazujące,showing
ukończeniu,completion
ukończyła,She graduated
ukradł,he stole
ukraiński,Ukrainian
ukraińskiej,Ukrainian
ukrycia,hiding
ukrywać,hide
ulega,I give in
ulegają,they are giving in
uległ,he gave in
uległa,she gave in
ulgowy,reduced
ulgą,relief
ulgę,relief
ulicą,street
ulicę,street
ulubione,favorite
ulubionej,favorite
ulubionych,favorites
umarli,They died
umieszczane,placed
umieścili,they put
umowie,contract
umową,agreement
umożliwić,make it possible
unijny,EU
unikalnymi,unique
uniwersalne,universal
uniwersum,universe
uniwersyteckim,university
upadł,he fell
upadła,she fell
upałami,hot weather
upałów,hot weather
upokorzenia,humiliation
uporządkowanie,arrangement
uprawie,cultivation
uprawnieni,entitled
uprawnienia,right
uprawy,crops
upływa,is running out
upływu,passage of time
uratował,he saved
uroczysta,solemn
uroczyste,ceremonial
uroczystej,solemn
uroczystościach,celebrations
uroczyście,solemnly
urodzeń,births
urodzin,birthday
urodziła,she gave birth
urodę,beauty
uruchomiono,launched
urwał,he broke off
urządzenie,device
urzędnikami,officials
urzędy,offices
urzędów,offices
usprawnienie,Improvement
ust,mouth
usta,mouth
ustaleniach,arrangements
ustalenie,arrangement
ustaleniu,to establish
ustawie,the act
ustawodawczej,legislative
usterek,faults
usunięcia,removal
usunięty,removed
usuwania,removal
usuwaniem,removing
uszczerbku,damage
uszkodzenia,damage
uszkodzi,will damage
uszkodzone,damaged
uszkodzonych,damaged
usłyszeliśmy,we heard
usłyszy,he will hear
utracone,lost
utrudnień,difficulties
utrzyma,will hold
utrzymaniu,maintenance
utrzymany,maintained
utrzymał,he maintained
utworu,song
utwór,piece
uważają,they consider
uważano,It was considered
uważał,he considered
uwięzione,trapped
uwzględniając,taking into account
uwzględnieniem,taking into account
uwzględniono,included
uzasadnienia,justifications
uzdrowisku,health resort
uznane,recognized
uznanych,recognized
uznawane,recognized
uznała,she considered
uzupełnienia,additions
uzupełnić,complete
uzyskali,they got
uzyskane,obtained
uzyskanie,getting
uzyskaniu,getting
uzyskała,she got
u¿ywa³em,I used
ułaskawić,pardon
ułatwiają,make it easier
uśmiechnięty,smiling
użycia,use
użycie,use
użyciu,use
użytkownika,user
używane,used
używanego,used
używania,use
używki,stimulants
użyła,she used
wagonach,wagons
wagonu,wagon
wagę,weight
wakacjami,vacation
wakacyjna,holiday
walczyli,They fought
walczył,he fought
walczyła,She fought
walczyły,They fought
walczącą,fighting
walkach,fights
walką,fight
warmińsko-mazurskie,Warmia-Masuria
warmińsko-mazurskim,Warmia-Masuria
warstwą,layer
warunkiem,condition
warzyw,vegetables
waszych,yours
ważnego,important
ważniejszych,more important
ważną,important
wchodzić,enter
wchodzące,Coming in
wciela,incarnate
wczesnym,early
wcześniejszym,earlier
wdzięczność,gratitude
weekendem,weekend
wejściu,entrance
wersje,versions
weryfikacji,verification
wesele,wedding reception
wesoło,merrily
weterynaryjna,veterinary
wewnętrznego,internal
wg,according to
wiadomością,a message
wiarygodna,credible
wiatrem,the wind
wiceministrem,Deputy Minister
wiceprezes,Vice President
wiceprezydent,Vice President
wiceprezydenta,Vice President
wiceprzewodniczący,Vice-President
wiceszefa,deputy head
widaæ,you can see
widoczna,visible
widoki,views
widoku,view
widowni,the audience
widza,viewer
widzami,viewers
widzialność,visibility
widziany,seen
widzicie,you see
widzieliśmy,we saw
widzieć,see
wiecie,you know
wiedzieli,They knew
wiekiem,age
wieków,centuries
wielkanocne,Easter
wielkanocnego,Easter
wielkimi,big ones
wielkopolskie,Greater Poland
wielkoszlemowego,Grand Slam
wielkoszlemowym,Grand Slam
wielkość,size
wieloboju,all-around
wieloletnie,perennial
wieloletniej,long-standing
wiersze,poems
wierzeń,beliefs
wierzy,he believes
wierzycieli,creditors
wierzę,I believe
wieść,news
wieżowiec,skyscraper
wieży,bonds
wilgotność,humidity
wilgoć,moisture
wilki,wolves
wille,villas
winnym,guilty
wiodących,leading
wiosennych,spring
wiosna,spring
witamin,vitamins
witaminy,vitamins
witryny,websites
wiz,visa
wizerunkiem,image
wizerunku,image
wizyt,visits
wizytę,a visit
wiążą,they bind
większym,bigger
większymi,bigger
więzień,prisoner
wjazdu,entry
wjeżdżania,driving in
wkroczył,he stepped in
wlewamy,we pour
wnioskami,conclusions
wnioskiem,application
wnioskowanie,inference
wnętrz,interiors
wnętrze,interior
wodach,waters
wodnych,water
wodną,water
wojen,wars
wojenne,war
wojewoda,Voivode
wojewodą,voivode
wojewódzkim,provincial
wojnę,war
wojskowe,Military
wojsku,the army
wokalistka,singer
wolniej,slower
wolny,free
wolnych,free
wolną,Free
wolontariusze,volunteers
wozy,wagons
wołanie,call
wpada,falls in
wpadka,setback
wpadli,they fell in
wpadniesz,you will fall
wpisał,he entered
wpisie,entry
wpisu,entry
wprowadzaniu,introducing
wprowadzeniem,introduction
wprowadzeniu,introduction
wprowadziły,They introduced
wpłacamy,we pay in
wpłyną,they will affect
wpłynął,he got involved
wpływającym,influencing
wracać,return
wrak,wreck
wrażliwością,sensitivity
wrażliwość,sensitivity
wrogów,enemies
wrzucił,he threw
wrócili,They came back
wrócą,they will come back
wróg,enemy
wschodnią,eastern
wskazuj±,point out
wskazując,pointing
wskazujących,indicating
wskazywany,indicated
wskazywały,they indicated
wskazówki,tips
wskaże,will indicate
wspierające,supporting
wspieramy,we support
wspominał,he mentioned
wspomnianym,mentioned
wspomniała,she mentioned
wspólnicy,partners
wspólnoty,community
współpraca,cooperation
współpracownik,collaborator
wstawił,he put
wstrzymania,hold up
wstrzymanie,suspension
wstrząsamy,we shake
wstrząsnął,he shook
wstrząsnęła,She shook
wstęp,entry
wszak,after all
wszakże,however
wszczął,He started
wszczęła,she started
wszedł,he entered
wy,You
wybić,knock out
wyborcza,electoral
wyborczy,electoral
wyborczą,electoral
wyborom,elections
wyborze,choosing
wybranej,chosen
wybrani,chosen
wybrania,chosen
wybrzeża,coast
wybrzeżu,on the coast
wybrzeży,coasts
wybuchem,an explosion
wybuchów,explosions
wybuchł,exploded
wybudować,build
wychodzi,it's coming out
wychodziła,she was going out
wychodzą,They are leaving
wychowanek,pupil
wychowawczego,educational
wychowała,She raised
wycieczka,trip
wyciągnąć,pull out
wyciągnął,he pulled out
wyciągnęli,They pulled out
wycofał,he withdrew
wycofała,she withdrew
wydajemy,we spend
wydajności,performance
wydają,they spend
wydanych,published
wydanym,issued
wydarzenie,event
wydarzeniu,event
wydarzy,will happen
wydarzyć,happen
wydatki,expenses
wydawały,they seemed
wydawnictwa,publishing houses
wyda³,he issued
wydychanym,exhaled
wydziałów,departments
wyemitowanych,issued
wygaśnięcia,expiration
wygląd,appearance
wyglądu,appearance
wygodne,comfortable
wygraliśmy,we won
wygrania,winning
wygrały,They won
wygrywając,winning
wygrywali,they won
wygłosił,he gave a speech
wyjazdy,trips
wyjazdów,trips
wyjaśniają,They explain
wyjaśniane,explained
wyjaśniać,explain
wyjaśnione,explained
wyjdzie,will come out
wyjechał,he left
wyjął,he took out
wyjęli,they took out
wykazali,they showed
wykazał,he showed
wykazały,showed
wykluczeniem,exclusion
wykluczyć,exclude
wykonawcy,contractors
wykonawczej,executive
wykonywanych,performed
wykonywać,to perform
wykorzysta,I will use
wykorzystania,use
wykorzystaniem,using
wykorzystał,he used
wykorzystując,using
wykorzystywanie,exploitation
wykorzystywany,used
wykorzystywać,to use
wykroczeń,offenses
wykryciu,detection
wykryto,detected
wykryć,detect
wykształcenia,education
wykładowca,lecturer
wyliczeniu,calculation
wymagającą,demanding
wymagane,required
wymagała,she required
wymagań,requirements
wymianie,exchange
wymiany,exchange
wymiaru,dimension
wymienionych,listed
wymierzył,he aimed
wymieszać,mix
wymogów,requirements
wynagrodzeń,salaries
wynikającej,resulting
wynikać,result
wynosiłaby,would be
wynoszą,they amount to
wyobrazić,imagine
wyobraźnię,imagination
wypadki,Accidents
wypadkiem,an accident
wypadł,fell out
wypalenie,burnout
wypełniania,filling
wypełnione,filled
wypieki,baked goods
wypić,drink
wypoczynek,rest
wypoczynkowy,leisure
wypoczynku,rest
wypoczywających,resting
wypoczywać,to rest
wyposażenie,equipment
wyposażony,equipped
wypowiadać,express
wypowiadał,he was saying
wypowiedział,he said
wypracowanie,essay
wypracować,work out
wyprawy,expeditions
wyprzedza,is ahead
wyprzedzić,overtake
wypróbować,try
wypłacane,paid
wypłacany,paid
wypłat,withdrawals
wypłatę,payment
wyraz,word
wyraziła,She expressed
wyrazy,words
wyrazów,words
wyraźne,clear
wyraźnego,clear
wyraźny,clear
wyroby,products
wyrobów,products
wyroków,judgments
wyrośnie,will grow
wyruszy,will set off
wyruszył,he set off
wyruszą,they will set off
wyrywając,tearing out
wyrzutni,Launcher
wyrządził,he caused
wyróżnienia,distinctions
wysiedli,They got out
wysiłku,effort
wysp,islands
wystarczającego,sufficient
wystarczyło,it was enough
wystarczą,are enough
wystartował,took off
wystaw,exhibitions
wystawa,exhibition
wystawione,exhibited
wystawiono,exhibited
wystawił,he exhibited
wystawiła,She exhibited
wystawę,exhibition
wystąpili,they performed
wystąpiły,occurred
występach,performances
występowania,occurrence
występujący,occurring
występów,performances
wyszli,They left
wysłano,sent
wytrzymać,withstand
wytrzymał,he endured
wytrzymałości,strength
wytężonej,strained
wytłumaczyć,explain
wywalczonego,won
wywołują,they evoke
wyznawców,followers
wyznała,she confessed
wyzwania,challenges
wyzwanie,challenge
wyłonieni,selected
wyłudzić,extort
wyłóż,lay out
wyłączone,disabled
wyścig,race
wzbudza,arouses
wzbudziło,aroused
względy,considerations
wzmacniania,Strengthening
wzmacnianiu,Strengthening
wzmocnienia,reinforcements
wzmocnić,strengthen
wzmocnił,strengthened
wznosić,to raise
wzorem,as a model
wzrosnąć,grow
wzrostem,growth
wzroście,I will grow
wzywa,is calling
wózku,in the wheelchair
wątek,thread
wątki,Threads
wędkarzy,fishermen
węgiel,coal
węgierski,Hungarian
węgierskim,Hungarian
węglowego,coal
węzłach,nodes
węzłami,knots
władca,ruler
włamanie,burglary
włamać,break in
własnych,own
właściciela,owner
właścicielem,owner
właściwą,proper
włoski,Italian
włożyć,put in
włącznie,inclusive
zaakceptować,accept
zaakceptowała,she accepted
zaangażowania,commitment
zaangażowanie,engagement
zaangażowaniem,commitment
zaangażowany,involved
zaatakowali,they attacked
zaawansowanych,advanced
zabawa,game
zabawek,toys
zabawne,funny
zabezpieczenie,safeguard
zabezpieczeń,security
zabezpieczonych,secured
zabiegu,procedure
zabity,killed
zablokować,to block
zabraknąć,to be missing
zabrane,taken away
zabraniają,They forbid
zabronione,forbidden
zabrzan,Zabrze
zaburza,disturbs
zabytkowym,historic
zabytku,a monument
zachmurzenie,cloud cover
zachodem,west
zachodnich,Western
zachodniopomorskim,West Pomeranian
zachodzie,in the west
zachodzą,they happen
zachorowania,getting sick
zachorowań,cases of illness
zachowali,They kept
zachowaniu,behavior
zachował,he kept
zachowały,They kept
zachowuje,it keeps
zachwycały,They were delighted
zachęcają,They encourage
zachęcamy,we encourage
zacieśnić,tighten
zaciszu,secluded
zacięta,fierce
zacznij,start
zadać,demand
zadba,I will take care
zadebiutował,made his debut
zadecydował,he decided
zadecyduje,will decide
zadowoleni,satisfied
zadośćuczynienia,compensation
zadośćuczynienie,satisfaction
zadłużenia,debts
zadłużenie,debt
zagadnienia,topics
zaginiony,lost
zaginięciem,disappearance
zaginął,He was missing
zagranicy,abroad
zagraniczne,foreign
zagranicznego,foreign
zagranicznej,foreign
zagrozić,to threaten
zagroził,He threatened
zagrożeniom,threats
zagrożeniu,in danger
zagrożone,endangered
zagubionego,lost
zainspirowany,inspired
zainteresowani,interested
zainteresowania,interests
zainteresowany,interested
zainwestował,he invested
zajmowało,It took
zajmują,they occupy
zajmującej,occupying
zakazane,forbidden
zakochani,lovers
zakochanych,in love
zakończona,finished
zakończyło,It ended
zakupić,buy
zakwaterowania,accommodation
zakładowej,company
zakładzie,in the plant
zakładów,establishments
zalane,flooded
zalaniem,flooding
zalecenia,Recommendations
zaległe,overdue
zamian,exchange
zamierzeń,intentions
zamieszanie,confusion
zamieszkania,residence
zamieszkać,to live in
zamieścił,he posted
zamknięciu,closing
zamknięta,closed
zamknięte,Closed
zamkniętego,closed
zamknąć,close
zamknął,he closed
zamknęła,She closed
zamknęły,They closed
zamkowym,castle
zamku,the castle
zamówień,orders
zamówić,to order
zamówił,he ordered
zanieczyszczenia,pollution
zaniedbań,neglect
zanotował,he noted
zaobserwować,observe
zaoferowania,to offer
zaoferuje,I will offer
zapadnie,it will sink
zapadły,sunken
zaparkowane,Parked
zapewniać,provide
zapewnienie,assurance
zapewniła,She assured
zapewniło,provided
zapisami,records
zapisać,save
zapisze,I will write down
zaplanowanej,planned
zaplecze,background
zapowiadał,he announced
zaprezentowali,They presented
zaprezentowany,presented
zaprezentowały,They presented
zaprezentują,they will present
zaproponowane,proposed
zaprosili,they invited
zaproszenie,invitation
zapłacimy,we will pay
zapłacą,they will pay
zarabiających,earning money
zarejestrować,register
zarejestrowały,They registered
zarobków,earnings
zaroiło,swarmed
zarzucanego,accused
zarzucił,he threw
zarządzany,Managed
zarządzie,on the board
zasadnicze,essential
zasiadło,sat down
zasilania,Power Supply
zasilił,he powered up
zasięg,reception
zasiłki,benefits
zaskakującą,surprising
zaskoczeniem,a surprise
zasobami,resources
zasoby,resources
zasobów,resources
zaspokojenie,satisfaction
zastanawia,I wonder
zastąpiła,replaced
zastępcy,deputies
zasługa,merit
zasługuje,deserves
zasłużenie,deservedly
zasłużonym,well-deserved
zatarcie,obliteration
zatonęła,She sank
zatrzymaniem,stopping
zatrzymano,detained
zatrzyma³a,she stopped
zatrzymała,she stopped
zatytułowanej,titled
zaufanie,trust
zauważając,noticing
zauważony,noticed
zawalczy,will fight
zawalenie,collapse
zawartości,content
zawiadomienia,notices
zawiadomienie,notification
zawierają,they contain
zawieszenie,suspension
zawieszona,suspended
zawieszony,suspended
zawodach,competitions
załogę,the crew
założyła,She founded
załączonej,attached
zaświadczenia,certificates
zaświadczeń,certificates
zażartował,he joked
zbiegu,confluence
zbiegły,fugitive
zbliżającego,approaching
zbliżający,approaching
zbliżających,approaching
zbliżającą,approaching
zbliżania,getting closer
zbojkotuje,I will boycott
zbrodnia,crime
zbrodnię,a crime
zbrojnego,armed
zbudowany,built
zbędnych,unnecessary
zdają,they seem
zdanie,opinion
zdarzają,they happen
zdarzało,it happened
zdarzeniem,an event
zdawał,he passed
zdecydowali,they decided
zdecydowana,determined
zdecydowały,They decided
zdecyduje,will decide
zdobycia,to get
zdobytym,gained
zdobywając,gaining
zdobywca,conqueror
zdobyły,They got it
zdołali,they managed
zdołała,she managed
zdradza,he's cheating
zdrowa,healthy
zdrowe,healthy
zdrowego,healthy
zdrowi,healthy
zdrowo,healthily
zdrowotny,health
zdrowotnymi,health
zdziwienie,surprise
zebranych,collected
zebrać,beg
zebrała,she collected
zemsta,revenge
zera,Zero
zeszłorocznych,last year's
zeszły,last
zewidencjonowanych,checked
zeznania,testimonies
zeznaniu,testimony
zeznawać,to testify
zezwolenia,permits
zgarniał,he was collecting
zgodzić,agree
zgon,death
zgonów,deaths
zgromadzeń,gatherings
zgromadziła,she gathered
zgromadzonym,gathered
zgłaszane,reported
zgłaszanych,reported
zgłosiła,She reported
zgłoszeń,reports
zgłoszona,reported
zidentyfikowali,They identified
zielona,green
ziemia,earth
ziemię,the earth
ziemniaków,potatoes
zignorował,he ignored
zima,Winter
zimie,in winter
zimowych,winter
zimę,winter
ziół,herbs
zjawiskiem,a phenomenon
zjazd,exit
zjeść,to eat
zlikwidować,liquidate
zlokalizowana,located
zlokalizowaną,located
zmagania,struggle
zmalała,has decreased
zmarnował,he wasted
zmarła,she died
zmianach,changes
zmieniony,changed
zmieniło,changed
zmierza,is going down
zmierzy,will measure
zmierzyć,measure
zminimalizować,minimize
zmniejszać,reduce
zmroku,twilight
zmuszanie,forcing
zmuszone,forced
znaczne,significant
znacznych,significant
znaczną,significant
znaczy,means
znad,from above
znajdujące,found
znajomymi,acquaintances
znakomicie,excellent
znakomity,excellent
znalezieniu,finding
znaleziony,found
znamy,we know
znał,he knew
zniesieniem,abolition
znieważenie,insult
znikną,They will disappear
zniknąć,disappear
zniknął,disappeared
zniszczenia,destruction
zniszczeń,destruction
zniszczony,destroyed
zniszczy,will destroy
zniszczyć,destroy
zniszczyły,They destroyed
zobaczcie,look
zobaczyliśmy,we saw
zobaczymy,We'll see
zobaczą,they will see
zobowiązani,obligated
zobowiązała,She obliged
zorganizowanej,organized
zorganizowanych,organized
zorganizowała,She organized
zorganizuje,I will organize
zostawili,They left
zostawił,he left
zosta³a,she was left
zosta艂,stay
zrealizowana,realized
zrealizowane,completed
zrealizował,he realized
zrelacjonował,he reported
zrobisz,you will do
zrobią,they will do
zrozumiałe,understandable
zupą,soup
zużycie,wear
zwana,called
zwiedzających,visitors
zwierzęcego,animal
zwierzętom,to animals
związanego,related
związanej,related
związani,tied up
związkach,relationships
związki,compounds
zwiększeniu,increase
zwiększona,increased
zwiększył,increased
zwiększą,they will increase
zwolnieniu,dismissal
zwolnień,exemptions
zwracali,they returned
zwrotów,Returns
zwróci,will return
zwycięstwu,victory
zwyciężyli,they won
zwyciężył,he won
zwyczaj,habit
zwyczajnie,simply
zwykły,ordinary
zwykłym,ordinary
zyska,will gain
zyskali,they gained
zyskała,she gained
zysku,profit
zł/kW/rok,PLN/kW/year
złamane,broken
złamania,fractures
złamać,break
złapał,he caught
złodzieje,thieves
złota,gold
złoty,golden
złotym,golden
złożono,folded
